gene,pval,pval_adj,logfoldchanges,cluster
LILRB2,0.0026690097576392256,0.032781853639630675,-22.733559,2
CTGF,0.0026690097576392256,0.032781853639630675,-22.733559,2
GAS6,0.0026690097576392256,0.032781853639630675,-22.733559,2
CD33,0.0026690097576392256,0.032781853639630675,-22.733559,2
IGHG3,0.0026690097576392256,0.032781853639630675,-22.733559,2
TKT,0.0031340751713193893,0.037988789955386536,-1.0784502,2
FSCN1,0.0015928667842525232,0.021238223790033643,-23.266304,2
EGR1,0.0021106839733052015,0.027530660521372197,-1.5923071,2
KRT8,0.001542465685072489,0.021033622978261213,-22.886118,2
PILRA,0.001542465685072489,0.021033622978261213,-22.886118,2
S100A2,0.001542465685072489,0.021033622978261213,-22.886118,2
KRT1,0.00147381165370143,0.020806752758137835,-24.03032,2
TRAP1,0.0017370460492145575,0.022906101747884274,-2.2501748,2
PAICS,0.0015670762634922536,0.021129118159446115,-2.2501748,2
FCN3,0.0010448258653705158,0.015105916125838783,-23.473871,2
IFIT2,0.0008971632750221532,0.013291307778105972,-25.57113,2
MEF2C,0.0008944662813854138,0.013291307778105972,-23.02418,2
CD93,0.0008944662813854138,0.013291307778105972,-23.02418,2
APOBEC3A,0.0008944662813854138,0.013291307778105972,-23.02418,2
EMP2,0.0008944662813854138,0.013291307778105972,-23.02418,2
AIF1,0.0011150237475409596,0.015928910679156565,-1.4610428,2
SLC40A1,0.0010113790796215838,0.014800669457876838,-1.9287618,2
MT1F,0.0008851476867069726,0.013291307778105972,-1.9287618,2
TMEM176B,0.0005665448753569393,0.009187214194977393,-23.473871,2
ABCA3,0.0005201556711845825,0.008550504183856151,-23.150269,2
SNCA,0.0005201556711845825,0.008550504183856151,-23.150269,2
CXCL1,0.0005201556711845825,0.008550504183856151,-23.150269,2
CMBL,0.0005201556711845825,0.008550504183856151,-23.150269,2
PLBD1,0.0005201556711845825,0.008550504183856151,-23.150269,2
IER5,0.0007487770950142962,0.011980433520228739,-1.6285441,2
CHST2,0.00045440335513638745,0.008018882737700957,-23.373777,2
LGALS2,0.00045440335513638756,0.008018882737700957,-23.373777,2
S100B,0.0004404594911537018,0.008008354384612759,-24.902884,2
CD160,0.00040825930877192714,0.007544063166357978,-23.81714,2
IFIT3,0.0003459731930498589,0.006589965581902074,-24.216421,2
CD300E,0.00030319338671940243,0.005964460066611195,-23.266304,2
PARD6B,0.00030319338671940243,0.005964460066611195,-23.266304,2
EGFL7,0.0002671118483248776,0.005432783355760222,-23.473871,2
TCF7L2,0.0002671118483248776,0.005432783355760222,-23.473871,2
SELL,0.0004086367548443905,0.007544063166357978,-1.8554589,2
MS4A7,0.00017707666371002156,0.0037279297623162436,-23.373777,2
SLC7A7,0.00017707666371002156,0.0037279297623162436,-23.373777,2
CD52,0.00033577367632994624,0.0064988453483215405,-3.1917484,2
HBA1,0.00015716721570013074,0.0034291028880028525,-23.567537,2
CNKSR2,0.00015716721570013074,0.0034291028880028525,-23.567537,2
CAV1,0.0001568652591105132,0.0034291028880028525,-23.962646,2
TPPP3,0.00010359230701096383,0.002486215368263132,-23.473871,2
RGS18,7.14045626712421e-05,0.0017851140667810524,-23.81714,2
CCDC144A,6.068916522257144e-05,0.0015495106014273559,-23.567537,2
MGST1,6.068916522257144e-05,0.0015495106014273559,-23.567537,2
KCTD12,5.4542356569905594e-05,0.0014544628418641493,-23.738579,2
